quarter,ticker,cik,revenue_bucket,pipeline_status,pipeline_missing_reason,repair_status,repair_notes,event_accession,event_dates,primary_8k_doc,primary_8k_cached,primary_8k_text_len,exhibit_docs,exhibit_cached_count,exhibit_doc_count,exhibit_text_len,periodic_accession,periodic_doc,periodic_cached,periodic_text_len,earnings_event_ready_for_local_extraction,periodic_doc_ready,coverage_reasons,periodic_reasons
2024Q3,ACIW,935036,$100M-$500M,doc_quality_passed,,,,0000935036-24-000032,2024-08-01,aciw-20240801.htm,True,3790,aciw-20240801_ex992.htm,1,1,10150,0000935036-24-000030,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ACLS,1113232,$100M-$500M,doc_quality_passed,,,,0001104659-24-078460,2024-07-09;2024-07-31,tm2419004d1_8k.htm,True,2982,tm2419004d1_ex99-1.htm;tm2419004d1_ex99-1img001.gif;tm2419004d1_ex99-1img003.gif,1,3,7513,0001558370-24-010589,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ACT,1823529,$100M-$500M,doc_quality_passed,,,,0001823529-24-000157,2024-07-31,act-20240731.htm,True,4080,a2q24earningsrelease.htm,1,1,20743,0001823529-24-000160,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ACVA,1637873,$100M-$500M,doc_quality_passed,,,,0001628280-24-035624,2024-08-07,acva-20240807.htm,True,3433,q2-24earningspressrelease.htm,1,1,24952,0001628280-24-035701,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ADBE,796343,$2B-$10B,doc_quality_passed,,,,0000796343-24-000200,2024-09-12,adbe-20240912.htm,True,13362,adbeex991q324.htm,1,1,17592,0000796343-24-000208,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ADEA,1803696,$100M-$500M,doc_quality_passed,,,,0000950170-24-091759,2024-08-06,adea-20240806.htm,True,3250,adea-ex99_1.htm,1,1,22031,0000950170-24-092744,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ADI,6281,$2B-$10B,doc_quality_passed,,,,0000006281-24-000158,2024-08-21,adi-20240821.htm,True,4121,adi3q24exhibit991earnings.htm,1,1,26284,0000006281-24-000159,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ADNT,1670541,$2B-$10B,doc_quality_passed,,,,0001670541-24-000095,2024-08-06,adnt-20240806.htm,True,3393,a08062024adientform8-kex991.htm,1,1,17406,0001670541-24-000098,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ADSK,769397,$2B-$10B,doc_quality_passed,,,,0000769397-24-000147,2024-08-29,adsk-20240829.htm,True,15985,q225pressrelease.htm,1,1,32166,0000769397-24-000150,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ADTN,926282,$100M-$500M,doc_quality_passed,,,,0000950170-24-091207,2024-08-06,adtn-20240805.htm,True,3918,adtn-ex99_1.htm;adtn-ex99_2.htm,2,2,59290,0000950170-24-094602,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ADUS,1468328,$100M-$500M,doc_quality_passed,,,,0001193125-24-193948,2024-08-05,d881333d8k.htm,True,3258,d881333dex991.htm,1,1,24842,0000950170-24-091763,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ADV,1776661,$500M-$1B,doc_quality_passed,,,,0000950170-24-092266,2024-08-07,adv-20240807.htm,True,5105,adv-ex99_1.htm;adv-ex99_2.htm,2,2,68956,0000950170-24-094741,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,AEE,1002910,$2B-$10B,doc_quality_passed,,,,0001002910-24-000098,2024-08-01,aee-20240801.htm,True,4478,q22024ex991earningsrelease.htm;q22024ex992earningsrelease.htm,2,2,34099,0001002910-24-000101,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,AEIS,927003,$100M-$500M,doc_quality_passed,,,,0001558370-24-010373,2024-07-30,aeis-20240730x8k.htm,True,3483,aeis-20240730xex99d1.htm,1,1,22949,0001558370-24-010375,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,AEO,919012,$1B-$2B,doc_quality_passed,,,,0000950170-24-101592,2024-08-29,aeo-20240829.htm,True,4340,aeo-ex99_1.htm,1,1,16909,0000950170-24-101854,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,AEP,4904,$2B-$10B,doc_quality_passed,,,,0000004904-24-000080,2024-07-30,aep-20240730.htm,True,3375,a2q20248kpressreleaseex991.htm,1,1,25050,0000004904-24-000081,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,AES,874761,$2B-$10B,doc_quality_passed,,,,0000874761-24-000056,2024-08-01,aes-20240801.htm,True,7538,q22024earningsreleaseexs.htm,1,1,43983,0000874761-24-000054,,False,0,True,False,ready,missing_periodic_doc_name
