quarter,ticker,revenue_bucket,profitability_score,operating_cash_flow_score,fcf_proxy_score,financing_dependence_score,asset_efficiency_score,pre_llm_fundamental_score,pre_llm_fundamental_bucket,pre_llm_fundamental_missing_fields,tier_bucket,tier_1_bucket,tier_2_bucket,tier_3_bucket,tier_4_bucket,tradable_date,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct
2024Q3,PANW,$2B-$10B,1,2,-1,1,0,3,good,,,,,,,2024-08-20,174.345001,4.0236,-1.3307,-4.3276,8.5233,10.9381
2024Q3,PAR,$100M-$500M,-1,-1,-1,1,0,-2,weak,,,,,,,2024-08-09,49.400002,9.5547,9.1700,6.3968,14.7571,34.6761
2024Q3,PARR,$1B-$2B,2,1,2,0,0,5,good,,,,,,,2024-08-07,25.400000,-9.4882,-14.8425,-21.8110,-26.3779,-40.5118
2024Q3,PATK,$500M-$1B,1,-1,-1,0,0,-1,weak,,,,,,,2024-08-02,79.580002,0.2346,6.7689,5.6798,20.9014,5.5374
2024Q3,PAYC,$100M-$500M,2,2,2,-1,0,5,good,,,,,,,2024-08-01,174.020004,-11.6711,-7.5968,-7.3153,-4.2811,-1.0171
2024Q3,PAYO,$100M-$500M,1,1,-1,1,0,2,mixed,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,2024-08-08,6.490000,10.0154,9.3991,10.0154,18.3359,59.4761
2024Q3,PBF,$2B-$10B,1,1,1,1,1,5,good,,,,,,,2024-08-02,38.209999,-2.0937,-12.1958,-12.6407,-17.9272,-25.3599
2024Q3,PBH,$1B-$2B,2,2,1,1,0,6,strong,,,,,,,2024-08-09,66.970001,3.4194,10.4972,8.4515,1.6873,19.5909
2024Q3,PBI,$500M-$1B,-1,-1,-1,1,0,-2,weak,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,2024-08-09,7.110000,5.3446,-0.9845,-8.8608,-3.7975,13.2208
2024Q3,PCAR,$2B-$10B,1,1,1,1,0,4,good,,,,,,,2024-07-24,96.110001,-4.3492,-3.5688,0.3642,2.7885,9.0313
2024Q3,PCG,$2B-$10B,1,2,-1,-1,0,1,mixed,,Tier 0 - Broad right-tail scouting universe,,,,,2024-07-26,18.129999,-1.7650,1.5444,5.0193,9.3216,14.0651
2024Q3,PCTY,$500M-$1B,2,2,-1,1,0,4,good,,,,,,,2024-08-02,148.600006,1.2180,3.0081,9.3540,9.6030,24.2059
