quarter,asof_date,ticker,included,filter_reason,liquidity_flag,asset_class,sector_gics,seed_sources,sec_facts_status,cik,revenue_fact_name,revenue_filed,revenue_form,revenue_period_end,revenue_value,price_date,raw_close,avg_dollar_volume_60d
2024Q3,2024-07-01,ALLE,True,included,,Equity,Industrials,sp500,ok,1579241,Revenues,2024-04-25,10-Q,2023-03-31,923000000,2024-07-01,115.73999786376953,78700737.64591217
2024Q3,2024-07-01,ALLO,True,included,,Equity,,nasdaq;russell2000,ok,1737287,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-13,10-Q,2023-03-31,30000,2024-07-01,2.3299999237060547,7478914.972307284
2024Q3,2024-07-01,ALNT,True,included,,Equity,,nasdaq;russell2000,ok,46129,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-08,10-Q,2023-03-31,145549000,2024-07-01,24.389999389648438,2677262.8826522827
2024Q3,2024-07-01,ALNY,True,included,,Equity,,nasdaq,ok,1178670,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-02,10-Q,2023-03-31,319290000,2024-07-01,243.32000732421875,173619390.80136618
2024Q3,2024-07-01,ALRM,True,included,,Equity,,nasdaq;russell2000,ok,1459200,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-10,10-Q,2023-03-31,209716000,2024-07-01,62.790000915527344,30577772.74312973
2024Q3,2024-07-01,ALT,True,included,,Equity,,nasdaq;russell2000,ok,1326190,Revenues,2024-05-09,10-Q,2023-03-31,21000,2024-07-01,7.199999809265137,25807924.009399414
2024Q3,2024-07-01,ALTG,True,included,,Equity,,russell2000,ok,1759824,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-08,10-Q,2023-03-31,420700000,2024-07-01,7.769999980926514,3612288.5873707137
2024Q3,2024-07-01,ALTI,True,included,low_liquidity_keep,Equity,,nasdaq;russell2000,ok,1838615,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-10,10-Q,2023-03-31,58047000,2024-07-01,4.920000076293945,827318.5988775889
2024Q3,2024-07-01,ALTS,True,included,low_liquidity_keep,Equity,,nasdaq,ok,862861,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-03,10-Q,2023-04-01,0,2024-07-01,2.140000104904175,665036.5562887987
2024Q3,2024-07-01,ALX,True,included,,Equity,,russell2000,ok,3499,Revenues,2024-05-06,10-Q,2023-03-31,52941000,2024-07-01,216.92999267578125,2215585.8367411294
2024Q3,2024-07-01,ALXO,True,included,,Equity,,nasdaq,ok,1810182,RevenueFromContractWithCustomerExcludingAssessedTax,2023-03-09,10-K,2020-12-31,1182000,2024-07-01,5.989999771118164,9081682.56405592
2024Q3,2024-07-01,AMAT,True,included,,Equity,Technology,sp500;nasdaq,ok,6951,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-23,10-Q,2023-04-30,13369000000,2024-07-01,237.41000366210938,1095677378.4214528
2024Q3,2024-07-01,AMBA,True,included,,Equity,,nasdaq;russell2000,ok,1280263,RevenueFromContractWithCustomerExcludingAssessedTax,2024-06-06,10-Q,2023-04-30,62142000,2024-07-01,53.61000061035156,32047242.266216278
2024Q3,2024-07-01,AMC,True,included,,Equity,,russell2000,ok,1411579,Revenues,2024-05-08,10-Q,2023-03-31,954400000,2024-07-01,5.039999961853027,309215124.09872574
2024Q3,2024-07-01,AMCR,True,included,,Equity,Materials,sp500,ok,1748790,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-01,10-Q,2023-03-31,11021000000,2024-07-01,48.0,78277221.42199326
2024Q3,2024-07-01,AMCX,True,included,,Equity,,nasdaq;russell2000,ok,1514991,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-10,10-Q,2023-03-31,717447000,2024-07-01,9.34000015258789,15206266.522526741
2024Q3,2024-07-01,AMD,True,included,,Equity,Technology,sp500;nasdaq;ark,ok,2488,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-01,10-Q,2023-04-01,5353000000,2024-07-01,157.69000244140625,8258021369.266281
2024Q3,2024-07-01,AME,True,included,,Equity,Industrials,sp500,ok,1037868,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-02,10-Q,2023-03-31,1597117000,2024-07-01,165.57000732421875,199330549.24657187
2024Q3,2024-07-01,AMGN,True,included,,Equity,Healthcare,dow;sp500;nasdaq,ok,318154,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-03,10-Q,2023-03-31,6105000000,2024-07-01,311.010009765625,760443767.8019714
2024Q3,2024-07-01,AMKR,True,included,,Equity,,nasdaq,ok,1047127,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-01,10-Q,2023-03-31,1471539000,2024-07-01,40.2400016784668,49824727.690410614
2024Q3,2024-07-01,AMN,True,included,,Equity,,russell2000,ok,1142750,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-10,10-Q,2023-03-31,1126223000,2024-07-01,49.31999969482422,42896499.6090889
2024Q3,2024-07-01,AMP,True,included,,Equity,Financials,sp500,ok,820027,Revenues,2024-05-06,10-Q,2023-03-31,3845000000,2024-07-01,426.0899963378906,201657137.81305948
2024Q3,2024-07-01,AMPH,True,included,,Equity,,nasdaq;russell2000,ok,1297184,Revenues,2024-05-10,10-Q,2023-03-31,140022000,2024-07-01,38.5099983215332,14518049.219697317
2024Q3,2024-07-01,AMPL,True,included,,Equity,,nasdaq;russell2000,ok,1866692,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-09,10-Q,2023-03-31,66477000,2024-07-01,8.579999923706055,5678186.261169116
